id,group,name,description,level,value,cost_type,cost
15010101,survival,최대 체력,캐릭터의 최대 체력이 증가합니다,1,20,Gold,1000
15010102,survival,최대 체력,캐릭터의 최대 체력이 증가합니다,2,20,Gold,2000
15010103,survival,최대 체력,캐릭터의 최대 체력이 증가합니다,3,20,Gold,3000
15010104,survival,최대 체력,캐릭터의 최대 체력이 증가합니다,4,20,Gold,4000
15010105,survival,최대 체력,캐릭터의 최대 체력이 증가합니다,5,20,Diamond,100
15010106,survival,최대 체력,캐릭터의 최대 체력이 증가합니다,6,20,Gold,10000
15010107,survival,최대 체력,캐릭터의 최대 체력이 증가합니다,7,20,Gold,20000
15010108,survival,최대 체력,캐릭터의 최대 체력이 증가합니다,8,20,Gold,30000
15010109,survival,최대 체력,캐릭터의 최대 체력이 증가합니다,9,20,Gold,40000
15010110,survival,최대 체력,캐릭터의 최대 체력이 증가합니다,10,20,Diamond,500
15010201,survival,체력 재생,캐릭터의 초당 체력 재생이 증가됩니다,1,2,Gold,1000
15010202,survival,체력 재생,캐릭터의 초당 체력 재생이 증가됩니다,2,2,Gold,2000
15010203,survival,체력 재생,캐릭터의 초당 체력 재생이 증가됩니다,3,2,Gold,3000
15010204,survival,체력 재생,캐릭터의 초당 체력 재생이 증가됩니다,4,2,Gold,4000
15010205,survival,체력 재생,캐릭터의 초당 체력 재생이 증가됩니다,5,2,Diamond,100
15010206,survival,체력 재생,캐릭터의 초당 체력 재생이 증가됩니다,6,2,Gold,10000
15010207,survival,체력 재생,캐릭터의 초당 체력 재생이 증가됩니다,7,2,Gold,20000
15010208,survival,체력 재생,캐릭터의 초당 체력 재생이 증가됩니다,8,2,Gold,30000
15010209,survival,체력 재생,캐릭터의 초당 체력 재생이 증가됩니다,9,2,Gold,40000
15010210,survival,체력 재생,캐릭터의 초당 체력 재생이 증가됩니다,10,2,Diamond,500
15010301,survival,회피 확률,캐릭터의 회피 확률이 증가됩니다,1,2,Gold,1000
15010302,survival,회피 확률,캐릭터의 회피 확률이 증가됩니다,2,2,Gold,2000
15010303,survival,회피 확률,캐릭터의 회피 확률이 증가됩니다,3,2,Gold,3000
15010304,survival,회피 확률,캐릭터의 회피 확률이 증가됩니다,4,2,Gold,4000
15010305,survival,회피 확률,캐릭터의 회피 확률이 증가됩니다,5,2,Diamond,100
15010306,survival,회피 확률,캐릭터의 회피 확률이 증가됩니다,6,2,Gold,10000
15010307,survival,회피 확률,캐릭터의 회피 확률이 증가됩니다,7,2,Gold,20000
15010308,survival,회피 확률,캐릭터의 회피 확률이 증가됩니다,8,2,Gold,30000
15010309,survival,회피 확률,캐릭터의 회피 확률이 증가됩니다,9,2,Gold,40000
15010310,survival,회피 확률,캐릭터의 회피 확률이 증가됩니다,10,2,Diamond,500
15020101,shadow,시작 그림자 수,시작 그림자 수가 증가합니다,1,1,Gold,1000
15020102,shadow,시작 그림자 수,시작 그림자 수가 증가합니다,2,1,Gold,2000
15020103,shadow,시작 그림자 수,시작 그림자 수가 증가합니다,3,1,Gold,3000
15020104,shadow,시작 그림자 수,시작 그림자 수가 증가합니다,4,1,Gold,4000
15020105,shadow,시작 그림자 수,시작 그림자 수가 증가합니다,5,1,Diamond,100
15020201,shadow,최대 그림자,최대 소환할 수 있는 그림자 수가 증가합니다,1,1,Gold,1000
15020202,shadow,최대 그림자,최대 소환할 수 있는 그림자 수가 증가합니다,2,1,Gold,2000
15020203,shadow,최대 그림자,최대 소환할 수 있는 그림자 수가 증가합니다,3,1,Gold,3000
15020204,shadow,최대 그림자,최대 소환할 수 있는 그림자 수가 증가합니다,4,1,Gold,4000
15020205,shadow,최대 그림자,최대 소환할 수 있는 그림자 수가 증가합니다,5,1,Diamond,100
15020206,shadow,최대 그림자,최대 소환할 수 있는 그림자 수가 증가합니다,6,2,Gold,10000
15020207,shadow,최대 그림자,최대 소환할 수 있는 그림자 수가 증가합니다,7,2,Gold,20000
15020208,shadow,최대 그림자,최대 소환할 수 있는 그림자 수가 증가합니다,8,2,Gold,30000
15020209,shadow,최대 그림자,최대 소환할 수 있는 그림자 수가 증가합니다,9,2,Gold,40000
15020210,shadow,최대 그림자,최대 소환할 수 있는 그림자 수가 증가합니다,10,2,Diamond,500
15020301,shadow,그림자 소환 쿨타임,그림자 소환 시간이 단축됩니다,1,1,Gold,1000
15020302,shadow,그림자 소환 쿨타임,그림자 소환 시간이 단축됩니다,2,1,Gold,2000
15020303,shadow,그림자 소환 쿨타임,그림자 소환 시간이 단축됩니다,3,1,Gold,3000
15020304,shadow,그림자 소환 쿨타임,그림자 소환 시간이 단축됩니다,4,1,Gold,4000
15020305,shadow,그림자 소환 쿨타임,그림자 소환 시간이 단축됩니다,5,1,Diamond,100
15020401,shadow,그림자 공격력 증가,그림자의 공격력이 증가합니다,1,1,Gold,1000
15020402,shadow,그림자 공격력 증가,그림자의 공격력이 증가합니다,2,1,Gold,2000
15020403,shadow,그림자 공격력 증가,그림자의 공격력이 증가합니다,3,1,Gold,3000
15020404,shadow,그림자 공격력 증가,그림자의 공격력이 증가합니다,4,1,Gold,4000
15020405,shadow,그림자 공격력 증가,그림자의 공격력이 증가합니다,5,1,Diamond,100
15020406,shadow,그림자 공격력 증가,그림자의 공격력이 증가합니다,6,1,Gold,10000
15020407,shadow,그림자 공격력 증가,그림자의 공격력이 증가합니다,7,1,Gold,20000
15020408,shadow,그림자 공격력 증가,그림자의 공격력이 증가합니다,8,1,Gold,30000
15020409,shadow,그림자 공격력 증가,그림자의 공격력이 증가합니다,9,1,Gold,40000
15020410,shadow,그림자 공격력 증가,그림자의 공격력이 증가합니다,10,1,Diamond,500
15020501,shadow,그림자 공격 속도 증가,그림자의 공격 속도가 증가합니다,1,1,Gold,1000
15020502,shadow,그림자 공격 속도 증가,그림자의 공격 속도가 증가합니다,2,1,Gold,2000
15020503,shadow,그림자 공격 속도 증가,그림자의 공격 속도가 증가합니다,3,1,Gold,3000
15020504,shadow,그림자 공격 속도 증가,그림자의 공격 속도가 증가합니다,4,1,Gold,4000
15020505,shadow,그림자 공격 속도 증가,그림자의 공격 속도가 증가합니다,5,1,Diamond,100
15020506,shadow,그림자 공격 속도 증가,그림자의 공격 속도가 증가합니다,6,1,Gold,10000
15020507,shadow,그림자 공격 속도 증가,그림자의 공격 속도가 증가합니다,7,1,Gold,20000
15020508,shadow,그림자 공격 속도 증가,그림자의 공격 속도가 증가합니다,8,1,Gold,30000
15020509,shadow,그림자 공격 속도 증가,그림자의 공격 속도가 증가합니다,9,1,Gold,40000
15020510,shadow,그림자 공격 속도 증가,그림자의 공격 속도가 증가합니다,10,1,Diamond,500
15020601,shadow,그림자 치명타 확률 증가,그림자의 치명타 확률이 증가합니다,1,1,Gold,1000
15020602,shadow,그림자 치명타 확률 증가,그림자의 치명타 확률이 증가합니다,2,1,Gold,2000
15020603,shadow,그림자 치명타 확률 증가,그림자의 치명타 확률이 증가합니다,3,1,Gold,3000
15020604,shadow,그림자 치명타 확률 증가,그림자의 치명타 확률이 증가합니다,4,1,Gold,4000
15020605,shadow,그림자 치명타 확률 증가,그림자의 치명타 확률이 증가합니다,5,1,Diamond,100
15020606,shadow,그림자 치명타 확률 증가,그림자의 치명타 확률이 증가합니다,6,1,Gold,10000
15020607,shadow,그림자 치명타 확률 증가,그림자의 치명타 확률이 증가합니다,7,1,Gold,20000
15020608,shadow,그림자 치명타 확률 증가,그림자의 치명타 확률이 증가합니다,8,1,Gold,30000
15020609,shadow,그림자 치명타 확률 증가,그림자의 치명타 확률이 증가합니다,9,1,Gold,40000
15020610,shadow,그림자 치명타 확률 증가,그림자의 치명타 확률이 증가합니다,10,1,Diamond,500
15020701,shadow,그림자 치명타 데미지 증가,그림자의 치명타 데미지가 증가합니다,1,1,Gold,1000
15020702,shadow,그림자 치명타 데미지 증가,그림자의 치명타 데미지가 증가합니다,2,1,Gold,2000
15020703,shadow,그림자 치명타 데미지 증가,그림자의 치명타 데미지가 증가합니다,3,1,Gold,3000
